venta_id,fecha_venta,monto_venta,producto_id,producto_nombre,region,usuario_id,fecha_registro,retention_rate,cohort,transaccion_id,volumen_transaccion,estado_transaccion,valor_promedio
33,12/24/2021,7993.47,33,Golf Polo Shirt,Indonesia,33,9/20/2021,23.8,Q3 2020,33,596,Cancelado,203.89
34,9/27/2021,3413.39,34,Induction Cooktop,China,34,2/26/2020,56.41,Q2 2020,34,605,Completado,450.59
35,8/26/2021,8831.85,35,Ripped Boyfriend Jeans,Sierra Leone,35,1/8/2021,24.65,Q1 2020,35,47,Pendiente,87.86
36,9/4/2021,6646.62,36,Yoga Blocks,Portugal,36,9/1/2020,2.1,Q3 2020,36,723,Cancelado,31.32
37,4/28/2021,7352.09,37,Sunflower Seeds,United States,37,11/5/2021,69.42,Q1 2020,37,552,Completado,253.86
38,7/21/2021,4022.3,38,Spicy Thai Coconut Soup,France,38,10/8/2021,73.8,Q2 2020,38,258,Completado,130.62
39,8/8/2021,5753.64,39,Silicone Baking Mats,China,39,12/11/2021,90.39,Q2 2020,39,757,Cancelado,135.81
40,5/16/2021,3383.16,40,Fresh Lemons,China,40,11/23/2020,66.96,Q3 2020,40,696,Cancelado,425.41
41,5/8/2021,7787.44,41,Arcade Game Machine,Russia,41,9/7/2021,7.13,Q3 2020,41,995,Pendiente,362.46
42,2/23/2021,6210.97,42,Portable Hammock with Stand,Philippines,42,1/9/2020,17.38,Q3 2020,42,725,Cancelado,353.86
43,2/16/2021,3915.2,43,Noise-Canceling Earbuds,Indonesia,43,5/21/2020,1.83,Q1 2020,43,901,Cancelado,235.51
44,4/29/2021,7574.32,44,Lemon Herb Quinoa,Portugal,44,4/16/2021,32.42,Q2 2020,44,527,Cancelado,90.44
45,9/28/2021,9603.1,45,Smart Light Switch,Indonesia,45,12/15/2020,11.87,Q2 2020,45,471,Cancelado,382.35
46,10/27/2021,9158.62,46,Vegan Mac & Cheese,Philippines,46,5/24/2021,47.77,Q1 2020,46,358,Completado,218.96
47,7/25/2021,9713.75,47,Teriyaki Stir-Fry Sauce,Indonesia,47,6/14/2021,26.89,Q3 2020,47,88,Pendiente,417.48
48,9/5/2021,9122.71,48,Leather Biker Jacket,Philippines,48,11/12/2021,38.8,Q2 2020,48,741,Cancelado,309.4
49,6/28/2021,8969.58,49,Folding Pocket Knife,Serbia,49,3/12/2021,41.8,Q2 2020,49,541,Cancelado,100.81
50,7/4/2021,5721.85,50,Buffalo Cauliflower Wings,Portugal,50,5/29/2021,92.75,Q3 2020,50,33,Cancelado,465.61
51,8/12/2021,8279.68,51,Chocolate Fudge Brownie Mix,Indonesia,51,3/29/2020,73.42,Q3 2020,51,745,Cancelado,101.94
52,11/30/2021,5479.51,52,Multi-Purpose Scissors,China,52,2/26/2020,86.86,Q3 2020,52,385,Completado,449.05
53,10/21/2021,802.97,53,Sweet and Sour Sauce,Czech Republic,53,9/30/2020,33.64,Q2 2020,53,40,Cancelado,351.24
54,12/19/2021,4517.45,54,Sweet Pea Hummus,China,54,11/14/2021,44.08,Q2 2020,54,822,Completado,208.35
55,3/30/2021,7580.7,55,Breezy Off-The-Shoulder Top,Indonesia,55,3/29/2020,45.93,Q1 2020,55,381,Completado,466.63
56,9/11/2021,6394.17,56,Automatic Pet Feeder,Portugal,56,9/26/2021,19.68,Q3 2020,56,158,Cancelado,479.78
57,4/20/2021,3563.22,57,Suede Ankle Booties,Portugal,57,12/12/2021,84.61,Q3 2020,57,751,Cancelado,291.86
58,2/11/2021,643.62,58,Bluetooth Headphones,Russia,58,12/21/2021,1.68,Q3 2020,58,240,Pendiente,338.41
59,6/19/2021,9953.83,59,Blueberry Oatmeal Cups,France,59,12/23/2020,56.12,Q2 2020,59,750,Cancelado,181.34
60,12/14/2021,4504.18,60,Spinach Feta Wraps,Croatia,60,9/17/2021,34.51,Q3 2020,60,877,Completado,323.01
61,4/10/2021,6265.69,61,Cabbage Slaw Mix,Nicaragua,61,8/13/2020,58.2,Q3 2020,61,314,Pendiente,239.3
62,7/20/2021,6187.9,62,Safety Goggles,Croatia,62,5/23/2020,69.4,Q3 2020,62,210,Cancelado,313.9
63,8/13/2021,6704.69,63,Berry Smoothie Mix,Denmark,63,6/27/2021,83.87,Q1 2020,63,259,Completado,286.13
64,5/1/2021,3346.48,64,Ergonomic Gaming Chair,France,64,10/26/2021,48.82,Q1 2020,64,907,Cancelado,218.58
65,7/25/2021,9115.31,65,Foam Roller for Muscle Recovery,Japan,65,1/25/2020,74.94,Q2 2020,65,482,Cancelado,440.35
66,7/11/2021,4107.27,66,Cocktail Shaker Set,Russia,66,8/26/2020,93.76,Q3 2020,66,212,Pendiente,225.94
67,10/24/2021,2426.11,67,Chipotle Seasoning Blend,Brazil,67,4/18/2021,99.06,Q1 2020,67,868,Cancelado,113.25
68,1/23/2021,7676.3,68,Fruit and Nut Bars,Nicaragua,68,6/15/2020,13.28,Q3 2020,68,223,Pendiente,343.79
69,4/11/2021,1121.17,69,Tuna Fish (canned),Indonesia,69,2/7/2020,8.19,Q2 2020,69,678,Pendiente,468.82
70,8/31/2021,7273.46,70,Almond Joy Munch Bars,Brazil,70,3/25/2020,59.74,Q3 2020,70,727,Pendiente,346.45
71,3/14/2021,9356.04,71,Crispy Kale Chips,Philippines,71,7/24/2021,66.23,Q2 2020,71,375,Completado,201.4
72,7/9/2021,3210.97,72,Dried Fruit Medley,China,72,3/30/2021,2.39,Q2 2020,72,639,Completado,51.97
73,3/12/2021,332.61,73,Pet Water Fountain with Filtration,Kenya,73,1/23/2020,90.27,Q2 2020,73,347,Cancelado,128.33
74,10/5/2021,418.32,74,Organic Brown Sugar,Mexico,74,5/30/2021,7.7,Q3 2020,74,707,Cancelado,406.49
75,11/29/2021,6718.16,75,Gluten-Free Bread,Portugal,75,5/17/2020,28.55,Q3 2020,75,537,Cancelado,232.05
76,9/20/2021,1526.07,76,Peanut Butter Chocolate Chip Bars,Peru,76,3/25/2021,42.24,Q1 2020,76,43,Completado,225.37
77,11/14/2021,174.68,77,Electric Razor,China,77,11/29/2020,32.44,Q2 2020,77,942,Pendiente,219.83
78,5/6/2021,1889.58,78,Radish Chips,Indonesia,78,8/7/2021,58.61,Q2 2020,78,5,Cancelado,20.08
79,6/12/2021,7806.64,79,Organic Italian Seasoning,Brazil,79,7/5/2021,76.57,Q1 2020,79,4,Cancelado,420.03
80,12/5/2021,6918.87,80,Chocolate Peanut Butter Cups,Uzbekistan,80,11/11/2020,0.79,Q3 2020,80,297,Cancelado,192.55
81,12/29/2021,2445.45,81,Fried Rice,United States,81,7/20/2021,55.95,Q3 2020,81,751,Pendiente,193.33
82,8/4/2021,9417.93,82,Zesty Garlic Marinade,Indonesia,82,9/6/2020,69.78,Q2 2020,82,577,Completado,172.29
83,2/19/2021,7533.82,83,Roasted Red Pepper Dip,Ukraine,83,7/1/2021,57.2,Q1 2020,83,415,Pendiente,307.71
84,4/23/2021,5829.96,84,Berries Medley,Czech Republic,84,3/17/2021,31.06,Q2 2020,84,226,Completado,67.76
85,3/18/2021,491.65,85,Kettle Corn Popcorn,France,85,2/7/2020,85.4,Q3 2020,85,786,Completado,144.2
86,12/16/2021,6581.92,86,Fashionable Belt Bag,Colombia,86,6/24/2021,96.8,Q1 2020,86,596,Cancelado,120.92
87,11/7/2021,1134.77,87,Frozen Acai Bowl,Portugal,87,9/10/2021,89.01,Q3 2020,87,653,Pendiente,286.65
88,12/23/2021,9410.46,88,Scent Diffuser Oil,China,88,3/18/2021,3.26,Q3 2020,88,552,Pendiente,6.72
89,10/17/2021,6085.5,89,Travel Makeup Organizer,Libya,89,7/29/2020,24.24,Q3 2020,89,313,Cancelado,312.45
90,7/14/2021,2769.5,90,Chili Lime Seasoning,Bosnia and Herzegovina,90,7/17/2021,31.01,Q3 2020,90,201,Cancelado,236.7
91,5/5/2021,631.56,91,Portable Phone Charger,Poland,91,6/26/2021,7.34,Q3 2020,91,407,Cancelado,159.78
92,7/27/2021,2110.58,92,Personal Safety Alarm,Cameroon,92,12/29/2021,94.51,Q2 2020,92,76,Cancelado,464.54
93,8/2/2021,8965.03,93,Breezy Off-The-Shoulder Top,China,93,10/26/2021,84.21,Q3 2020,93,916,Completado,495.57
94,8/21/2021,8522.07,94,Cranberry Lime Sparkling Water,Sweden,94,5/9/2020,22.66,Q3 2020,94,972,Pendiente,98.27
95,3/23/2021,8207.15,95,Travel Pillow,China,95,9/16/2020,6.23,Q1 2020,95,397,Cancelado,196.59
96,9/17/2021,2501.73,96,Black Bean Soup,Sweden,96,5/20/2021,94.1,Q2 2020,96,47,Completado,468.68
97,11/10/2021,6904.98,97,Compact Electric Kettle,Cameroon,97,10/31/2020,54.19,Q3 2020,97,818,Completado,212.75
98,4/16/2021,7483.79,98,Garden Kneeler and Seat,Croatia,98,3/1/2021,94.84,Q3 2020,98,968,Cancelado,169.68
99,6/14/2021,1339.81,99,Roasted Red Pepper Sauce,Peru,99,10/3/2020,82.24,Q2 2020,99,928,Completado,136.66
100,6/10/2021,5020.75,100,Organic Tomato Ketchup,Ivory Coast,100,7/7/2021,81.85,Q1 2020,100,553,Completado,90.73
101,2/8/2021,984.32,101,Mesh Sports Leggings,Azerbaijan,101,4/14/2020,30.96,Q3 2020,101,980,Completado,274.59
102,12/4/2021,9744.67,102,Portable Blender,Indonesia,102,1/8/2020,51.27,Q1 2020,102,531,Completado,22.93
103,3/6/2021,3484.68,103,Frozen Acai Bowl,Niger,103,2/1/2020,76.35,Q3 2020,103,601,Cancelado,134.78
104,10/8/2021,244.69,104,Ice Cube Tray with Lid,Portugal,104,8/12/2021,2.82,Q3 2020,104,376,Completado,306.67
105,4/27/2021,7408.88,105,Over-Ear Headphones,Indonesia,105,3/1/2021,87.33,Q1 2020,105,500,Completado,362.95
106,9/10/2021,3032.37,106,Solar Charger,Portugal,106,9/7/2020,86.65,Q2 2020,106,255,Completado,72.42
107,4/25/2021,6573.35,107,Coconut Curry Chicken,Palestinian Territory,107,5/8/2021,94.0,Q2 2020,107,299,Completado,126.02
108,6/22/2021,4291.75,108,Maple Oatmeal,China,108,3/9/2021,48.74,Q1 2020,108,659,Completado,251.9
109,11/25/2021,8027.25,109,Educational STEM Kit,Dominican Republic,109,12/26/2020,30.52,Q2 2020,109,411,Cancelado,207.18
110,2/14/2021,1955.62,110,Ice Pack,China,110,3/19/2021,6.09,Q3 2020,110,14,Completado,113.33
111,9/5/2021,9867.23,111,Safety Pin Dispenser,Egypt,111,10/27/2020,61.69,Q3 2020,111,239,Pendiente,147.95
112,11/21/2021,3425.95,112,Fitness Resistance Bands Set,Indonesia,112,4/17/2021,8.46,Q2 2020,112,798,Cancelado,376.8
113,10/30/2021,1962.7,113,Yoga Mat,Dominican Republic,113,4/8/2021,37.04,Q1 2020,113,404,Pendiente,79.94
114,3/24/2021,4478.18,114,Chocolate Chip Muffins,China,114,6/16/2021,17.55,Q1 2020,114,408,Cancelado,418.04
115,3/15/2021,1602.7,115,Rolling Cooler,Cameroon,115,9/11/2021,5.91,Q1 2020,115,567,Pendiente,427.93
116,5/2/2021,3476.09,116,Savory Trail Mix,Thailand,116,10/1/2020,43.87,Q1 2020,116,130,Pendiente,40.79
117,10/10/2021,1052.64,117,Infrared Thermometer,Russia,117,12/20/2020,71.1,Q1 2020,117,408,Completado,10.03
118,5/20/2021,4666.51,118,Travel Shoe Bags Set,China,118,11/29/2020,88.85,Q1 2020,118,642,Completado,183.39
119,10/6/2021,2536.72,119,Jalapeño Cornbread,Philippines,119,6/16/2021,84.6,Q2 2020,119,86,Cancelado,159.09
120,3/16/2021,3792.22,120,Kitchen Scale,Philippines,120,3/25/2020,63.59,Q3 2020,120,592,Cancelado,362.53
121,3/20/2021,7466.19,121,Kids' Activity Book,China,121,1/30/2021,99.76,Q1 2020,121,263,Cancelado,212.23
122,1/31/2021,5709.95,122,Digital Camera,Palestinian Territory,122,8/2/2020,1.3,Q3 2020,122,57,Cancelado,103.18
123,12/25/2021,536.36,123,Slingback Sandals,France,123,7/9/2020,20.06,Q2 2020,123,761,Cancelado,167.91
124,10/29/2021,7295.26,124,Electric Butter Churn,France,124,10/21/2020,79.79,Q2 2020,124,977,Cancelado,496.27
125,12/25/2021,3870.35,125,Non-Toxic Concrete Sealer,China,125,7/25/2020,38.98,Q1 2020,125,141,Completado,225.47
126,10/28/2021,1791.51,126,Couscous,Sweden,126,1/10/2020,77.36,Q2 2020,126,23,Cancelado,178.2
127,10/10/2021,5382.76,127,Fruit & Nut Trail Mix,Botswana,127,3/1/2021,82.98,Q1 2020,127,696,Cancelado,416.51
128,2/7/2021,9526.56,128,Baked Potato Chips,Albania,128,3/16/2021,30.85,Q3 2020,128,71,Pendiente,443.01
129,8/20/2021,7070.2,129,Compact Pop-Up Tent,China,129,12/29/2020,39.59,Q3 2020,129,948,Pendiente,345.27
130,3/9/2021,5961.36,130,Cotton Quilted Throw Blanket,China,130,5/1/2021,69.18,Q3 2020,130,529,Cancelado,241.82
131,4/27/2021,564.75,131,Frozen Acai Purée,Russia,131,12/21/2021,57.83,Q1 2020,131,682,Pendiente,167.89
132,7/31/2021,3730.2,132,Electric Heat Press Machine,Indonesia,132,12/7/2020,52.85,Q2 2020,132,29,Completado,487.52
133,7/16/2021,3609.01,133,Pork Chops,Spain,133,7/30/2021,34.51,Q2 2020,133,151,Cancelado,37.29
134,6/14/2021,5070.18,134,Basil Pesto Pasta,Russia,134,5/9/2020,90.62,Q1 2020,134,841,Cancelado,318.64
135,8/11/2021,7368.16,135,Ground Turkey,China,135,2/15/2020,52.67,Q2 2020,135,617,Cancelado,473.94
136,7/15/2021,3310.82,136,Sliced Avocado,Indonesia,136,4/25/2021,29.63,Q2 2020,136,612,Completado,206.07
137,12/25/2021,1293.75,137,Buffalo Stilton Cheese,Poland,137,12/6/2021,94.46,Q2 2020,137,659,Cancelado,105.03
138,9/6/2021,523.47,138,DIY Lip Balm Making Kit,Bangladesh,138,8/13/2020,57.62,Q3 2020,138,233,Completado,169.92
139,1/30/2021,6535.57,139,Coconut Flakes,China,139,10/11/2021,78.04,Q3 2020,139,540,Completado,197.35
140,9/14/2021,4196.4,140,Instant Pot,China,140,1/24/2021,32.33,Q3 2020,140,294,Cancelado,346.01
141,1/5/2021,3244.54,141,Savory Trail Mix,South Africa,141,10/9/2020,95.24,Q2 2020,141,553,Cancelado,260.2
142,6/3/2021,5332.52,142,Collapsible Storage Crates,France,142,11/21/2021,18.32,Q2 2020,142,744,Completado,99.78
143,4/29/2021,6852.69,143,Running Shorts,Peru,143,7/19/2020,70.07,Q3 2020,143,471,Cancelado,199.72
144,12/13/2021,2845.43,144,Athletic Jogging Jacket,China,144,6/28/2021,63.91,Q2 2020,144,376,Completado,482.05
145,3/16/2021,4975.1,145,Beet Salad,China,145,11/11/2021,52.82,Q3 2020,145,740,Pendiente,0.1
146,4/10/2021,7193.65,146,Telescope,Russia,146,4/16/2021,0.69,Q2 2020,146,94,Cancelado,487.84
147,3/23/2021,4949.36,147,Energy Bites,Peru,147,12/17/2020,10.37,Q3 2020,147,860,Pendiente,42.01
148,12/15/2021,7661.35,148,Insulated Lunch Bag,China,148,3/10/2021,56.87,Q3 2020,148,400,Cancelado,428.11
149,11/25/2021,2407.33,149,Fitness Tracker Band,Sweden,149,1/14/2020,4.14,Q2 2020,149,331,Completado,247.03
150,10/22/2021,5209.23,150,Beef Tacos,Canada,150,12/13/2020,94.01,Q1 2020,150,1,Completado,243.73
151,3/28/2021,4362.75,151,Sriracha Sauce,Portugal,151,5/15/2020,59.01,Q2 2020,151,703,Cancelado,47.53
152,10/1/2021,4003.24,152,Spaghetti Sauce,United States,152,1/24/2020,76.43,Q2 2020,152,647,Completado,158.86
153,2/7/2021,1792.27,153,Luxury Bathrobe,Peru,153,2/26/2021,58.94,Q1 2020,153,891,Pendiente,272.05
154,3/4/2021,6484.15,154,Cocoa Powder,China,154,5/20/2021,17.62,Q2 2020,154,77,Pendiente,404.14
155,12/9/2021,7340.41,155,Savory Oatmeal,Greece,155,11/26/2021,84.64,Q3 2020,155,767,Cancelado,263.59
156,1/15/2021,8958.48,156,Yoga Strap,China,156,8/18/2020,37.03,Q1 2020,156,732,Completado,383.0
157,1/8/2021,24.96,157,Coconut Curry Chicken,Ukraine,157,9/5/2021,91.36,Q3 2020,157,116,Pendiente,159.31
158,4/17/2021,944.09,158,Maple Bacon Jerky,China,158,12/3/2021,60.3,Q2 2020,158,725,Completado,335.65
159,10/10/2021,1629.69,159,Zucchini,Poland,159,1/26/2021,65.12,Q1 2020,159,364,Pendiente,282.25
160,6/23/2021,2753.88,160,Wire Shelving Unit,China,160,8/6/2021,75.98,Q2 2020,160,476,Cancelado,337.89
161,12/19/2021,9708.55,161,Lemon Herb Chicken,Hungary,161,10/24/2020,73.97,Q1 2020,161,32,Pendiente,482.96
162,2/27/2021,1451.44,162,Whole Wheat Bread,Nepal,162,10/24/2021,52.91,Q3 2020,162,600,Cancelado,159.56
163,8/24/2021,1667.01,163,Bird Feeder,Russia,163,5/23/2020,63.56,Q2 2020,163,510,Cancelado,337.45
164,8/24/2021,9902.04,164,Pet Reflective Vest,Albania,164,11/28/2020,55.73,Q2 2020,164,588,Cancelado,280.74
165,9/14/2021,6990.87,165,Pet Grooming Scissors,Belarus,165,3/18/2021,11.79,Q2 2020,165,317,Completado,366.79
166,10/4/2021,1516.38,166,Pet Hair Removal Brush,Thailand,166,6/9/2021,34.36,Q2 2020,166,169,Cancelado,345.68
167,1/23/2021,5531.93,167,Set of Herb Garden Markers,Czech Republic,167,7/14/2020,59.55,Q1 2020,167,798,Cancelado,479.43
168,4/4/2021,2100.57,168,Fitness Tracker with Heart Rate Monitor,Philippines,168,7/29/2021,18.45,Q2 2020,168,749,Cancelado,285.9
169,8/7/2021,2090.3,169,Lemon Garlic Shrimp,Denmark,169,4/10/2020,26.15,Q3 2020,169,900,Pendiente,116.72
170,12/6/2021,8370.08,170,Classic Beef Chili,China,170,11/7/2020,54.77,Q3 2020,170,439,Completado,274.28
171,4/2/2021,7465.93,171,Buffalo Cauliflower Wings,Indonesia,171,6/2/2021,61.63,Q1 2020,171,474,Pendiente,55.36
172,10/9/2021,5798.11,172,Coconut Cream Pie,China,172,7/20/2020,0.94,Q1 2020,172,268,Completado,235.35
173,9/28/2021,1898.23,173,Cordless Water Flosser,Portugal,173,5/17/2020,4.76,Q3 2020,173,558,Completado,272.89
174,3/31/2021,3249.24,174,Peach Halves (canned),Czech Republic,174,8/4/2020,11.79,Q2 2020,174,174,Pendiente,116.12
175,6/1/2021,7650.7,175,LED Flashlight,Poland,175,6/21/2021,43.22,Q2 2020,175,982,Cancelado,20.28
176,4/6/2021,1807.2,176,Vegan Alfredo Sauce,China,176,7/6/2021,36.32,Q3 2020,176,364,Completado,340.33
177,6/30/2021,7987.89,177,Crispy Rice Treats,Russia,177,2/16/2021,34.07,Q2 2020,177,761,Pendiente,246.67
178,1/7/2021,9096.98,178,Rechargeable Hand Warmer,Colombia,178,9/19/2020,19.87,Q2 2020,178,673,Completado,99.48
179,5/10/2021,3308.49,179,DIY Lip Balm Making Kit,Greece,179,5/2/2021,7.93,Q1 2020,179,783,Pendiente,332.44
180,5/19/2021,562.89,180,Adjustable Garden Rake,Bangladesh,180,1/3/2021,45.68,Q2 2020,180,254,Pendiente,94.3
181,3/18/2021,9242.92,181,Silicone Baking Cups,Brazil,181,8/13/2021,75.88,Q1 2020,181,351,Pendiente,495.71
182,9/14/2021,1283.69,182,Avocados,China,182,4/29/2021,37.33,Q1 2020,182,718,Cancelado,115.0
183,4/14/2021,7292.12,183,Electric Air Pump,China,183,4/19/2021,96.14,Q1 2020,183,500,Completado,389.76
184,11/14/2021,1341.18,184,Adjustable Garden Rake,China,184,1/21/2020,81.09,Q1 2020,184,291,Cancelado,112.88
185,6/27/2021,9728.08,185,Beef Enchilada Casserole,Indonesia,185,1/18/2021,62.77,Q2 2020,185,833,Pendiente,458.81
186,9/23/2021,2117.08,186,Organic Cereal Bars,Poland,186,3/1/2021,56.86,Q3 2020,186,136,Completado,120.35
187,12/22/2021,9492.28,187,Antique Style Clock,Brazil,187,6/30/2021,88.38,Q2 2020,187,29,Pendiente,248.2
188,2/17/2021,9809.96,188,Reusable Coffee Filter,Indonesia,188,12/17/2020,32.35,Q1 2020,188,305,Pendiente,193.1
189,10/23/2021,4504.06,189,Recipe Book Stand,Philippines,189,12/25/2021,59.24,Q1 2020,189,59,Pendiente,349.02
190,7/26/2021,193.22,190,Cinnamon Roll Protein Bar,China,190,9/6/2021,79.95,Q3 2020,190,463,Cancelado,25.56
191,10/9/2021,2812.93,191,Electrolyte Water Bottle,Thailand,191,1/27/2020,44.25,Q1 2020,191,663,Completado,314.29
192,5/29/2021,2429.08,192,Black Bean Spaghetti,China,192,12/1/2020,84.6,Q3 2020,192,48,Pendiente,154.12
193,11/17/2021,6030.51,193,Cinnamon Raisin Bagels,Russia,193,7/29/2021,86.75,Q2 2020,193,521,Cancelado,57.4
194,1/8/2021,3498.6,194,Avocados,Lithuania,194,4/14/2020,3.64,Q1 2020,194,527,Pendiente,198.48
195,8/14/2021,5754.6,195,Cinnamon Apple Sauce,Democratic Republic of the Congo,195,1/6/2020,26.51,Q1 2020,195,742,Cancelado,340.21
196,3/8/2021,3158.49,196,Spicy Avocado Salsa,Albania,196,7/3/2020,97.32,Q3 2020,196,60,Cancelado,239.1
197,5/16/2021,4112.54,197,Dark Chocolate Bars,China,197,7/8/2020,78.53,Q2 2020,197,203,Cancelado,84.15
198,1/15/2021,5561.53,198,Sesame Oil,Ukraine,198,7/10/2021,22.79,Q3 2020,198,535,Completado,185.53
199,12/13/2021,7614.09,199,Pizza Stone,South Africa,199,7/6/2020,16.65,Q2 2020,199,899,Completado,172.65
200,4/9/2021,4979.28,200,Fridge Magnet Set,Brazil,200,7/11/2021,43.18,Q2 2020,200,231,Completado,379.94
201,10/16/2021,6168.22,201,Folding Exercise Bike,Peru,201,5/4/2021,27.93,Q3 2020,201,688,Completado,360.18
202,1/10/2021,6689.38,202,Smart Thermostat,Indonesia,202,5/22/2021,55.62,Q2 2020,202,303,Pendiente,464.81
203,12/20/2021,4306.64,203,Chili Beans in Sauce,Japan,203,7/23/2020,0.08,Q3 2020,203,38,Pendiente,265.25
204,4/10/2021,6838.86,204,Fleece Lined Leggings,Ukraine,204,12/22/2020,3.91,Q2 2020,204,783,Pendiente,92.01
205,7/22/2021,4305.83,205,Instant Mashed Potatoes,Indonesia,205,4/7/2020,53.86,Q2 2020,205,92,Completado,30.37
206,6/7/2021,9579.08,206,Chili Lime Seasoning,Indonesia,206,8/3/2021,67.54,Q1 2020,206,731,Pendiente,40.12
207,8/10/2021,2350.61,207,Portable Hand Warmer,Poland,207,1/21/2021,8.02,Q3 2020,207,983,Cancelado,377.22
208,10/11/2021,9713.12,208,Smart Water Bottle,Indonesia,208,10/14/2021,52.83,Q3 2020,208,786,Pendiente,206.76
209,12/7/2021,5409.3,209,Siphon Coffee Maker,China,209,6/8/2020,36.18,Q3 2020,209,693,Pendiente,486.01
210,2/21/2021,6691.63,210,Digital Stopwatch Timer,Indonesia,210,8/12/2021,65.13,Q1 2020,210,488,Cancelado,132.9
211,1/13/2021,7343.64,211,Coconut Cream Pie,Brazil,211,12/11/2021,48.29,Q2 2020,211,908,Completado,149.1
